评论者,评论内容,评论日期
由哩的百乔,哇塞，超级棒的一首音乐吧唧吧唧吧唧,31分钟前
Cynovel,看了评论发现实在装不过你们,32分钟前
NJ极度,贾世磊，希望下辈子遇到你的时候，是你想要的样子！,32分钟前
苏怪人-,绿色一直很干净，脏的是爱情。,33分钟前
我是汉子不是妹子i,2017年看了前任3 知道了什么是珍惜 2018年看了后来的我们 知道了什么是错过 2019年你看了比悲伤更悲伤的故事 你知道 什么是 真正的遗憾了吗？ ​​​,33分钟前
雁雍,难逃,34分钟前
齐憨憨-齐怼怼,这个歌手是不是喜欢我，她的每首歌都有种共鸣感，或者她就是在唱我的经过或者我现在的感受,35分钟前
爱香蕉的小少年,春来旧梦了无痕 很少做梦的人 怎么就三番五次的梦见你,35分钟前
心死还能救活吗,若不是你突然闯进我生活，我怎会把死守的寂寞放任了，你就不该来招惹我，让我有了想念却又没结果,35分钟前
泛白倾,好想谈恋爱！都是假的，哪有一米八的会喜欢一米五的给我个甜到齁的恋爱行不行了,36分钟前
杨筱筱丶,后来我们的关系 不算干净的朋友 也不算敞亮的情人,36分钟前
黄罐旺仔喝过吗,遇到之后更快乐,36分钟前
啦啦德莱文,温琴 我们终究还是错过 下辈子还是要遇到你,36分钟前
周静僧,怕只怕努力的我，忘了带上一直跟不上步伐的她，最后成功后发现她早已远远的在后方，像离去的样子，好像。,36分钟前
Z-Shenr,哈哈哈哈哈 在听,36分钟前
黄罐旺仔喝过吗,是滴,37分钟前
Strapping,昨晚洗澡的时候，一个同学一直在放，今天我又开始听了。,37分钟前
小喵来了,1000公里的异地，我真的好爱好爱她，我又怕让她失望，给不了她一个未来，现在的我真的好累好累，但是我爱她，不能放弃,37分钟前
Daisy-hzz,我相信每一个女孩都会遇到疼你的那个男孩,37分钟前
AKgzq,最喜欢绿色了,37分钟前
M南荒,绿色很干净 脏的是人,37分钟前
雁雍,屋外狂风暴雨 淋不湿屋内的你 我是狂风暴雨 你还是你,38分钟前
Lan_妳有妳的骄傲,说没有爱过，那真是假的,38分钟前
邓呈勇,每一分钟起码有5个人在听这首歌,38分钟前
没空喂狗粮丶,傻了一时 以为彻悟 回头却发现自己傻了一辈子,38分钟前
鹤壁八分,肉嘛？猪绞肉，不能再烂了,39分钟前
_enemy_,这个绿色是指被绿了的意思吗？,39分钟前
UBKETL,如果你在听这首歌 我想告诉你我等你,39分钟前
小宝饱,若不是你突然闯进我生活,40分钟前
D温瞳,绿色很干净，不干净的是爱情,40分钟前
你把不到的妹32,那段时间只是刚好被需要而已，当不需要了就抛弃了,41分钟前
夏木正好,爱我的话你不说爱我的事你不做🙈,42分钟前
_____Dawn,绿色很干净 只是爱情脏了它,42分钟前
猪总的跟班,绿色被玷污了,42分钟前
汝听为人言否,脏了绿色的是爱情,42分钟前
他们心花怒放,三里清风三里路 步步清风再无她,42分钟前
黄罐旺仔喝过吗,是你自己想太多了,43分钟前
有-所为,那个年代，菊花还只是菊花，小姐还只是小姐，当然，绿色也只是绿色,43分钟前
别苏v,没遇见你之前我是很快乐的,43分钟前
李威威威威威威威,我用两年时间给我自己未来四年一个学习生活的地方，不知道这四年能给我未来带来什么。,44分钟前
雪后晴大大,突然喜欢这首歌,44分钟前
你所经历的,喜欢绿色，与爱情无关,44分钟前
-弃忆,象征着希望的绿色在爱情中却变成了绝望,44分钟前
Daisy-hzz,好巧，我也是,46分钟前
释小新,祝贺汽水重回第一,47分钟前
-faddy,这首我最近循环了3天，有点疯狂,47分钟前
Ljjjjs,绿色本是最纯洁的颜色，是爱情弄脏了它,47分钟前
不喜欢uuuuuu,为什么突然闯进我生活 然后找了个服软的她,48分钟前
双马尾胖虎少女,绿色心情 早呀,48分钟前
是玲玉阿,那就向前看，不要被痛苦缠住不要被犹豫绊住，微笑接受思考前行~,48分钟前
崔崔崔崔崔琦,加油哦，高先生。,48分钟前
向木xm,我也喜欢你，喜欢你这样安静的女生！,49分钟前
你不会是AI吧,所以说，这里的绿色，代表什么？,49分钟前
我是乐乐你是谁啊,光绿脑袋不行，要绿全身，是有多恨,49分钟前
吓死驹驹了呢,当我发现，我只是她拿来气前任的工具时，我真的好后悔自己的认真就这么交出去了。最后那一刻，我拿我们之间的感情赌了一把，她没有选择跟我走，而且她的前任还以圣母的形式安慰了她。我从小就很快乐，后来把快乐全给了她，她也确实拿走了。OK吧，Good luck.,49分钟前
GOEOLi,你要听我唱吗，虽然唱得不好听。,50分钟前
等一人倾城21,绿色是干净的感情是脏的若不是真的无能为力谁又想轻言放弃？,50分钟前
是二橘呀,好听,50分钟前
左岸十,绿色，原谅色。,50分钟前
等风也等你2028,你说你发现了一首很好听的歌，分享给我的时候，我听着旋律看着歌词，思绪万千，自私的以为里面都是你对我说的话，可我却没有理由去对号入座，也许你听着这首歌想起的并不是我，我不知道我们现在的关系，你总让我觉得我们的关系不只如此，却又只能这样。,51分钟前
陈不寻,看你多爱我，劈腿了也不跟我分手,52分钟前
幸运草爱骚猪,我曾最深爱的男生喜欢的颜色是绿色的，我现在也喜欢了绿色,52分钟前
好好好很好非常好,都变得空空如也,53分钟前
我的feel丶,3.我不会对你热情的原因是：我房租水电自己掏，肚子饿没衣服穿自己买，感冒发烧生病自己去医院，寂寞无论看电影，没钱无奈自己熬夜。你说我凭什么对你热情，难道就凭你一句我喜欢你我想你？请问你在开什么玩笑？,53分钟前
莫失莫忘Aaa,在2019年结束的时候，网易云年报会告诉我:2019年3月21日，你听了好多次《绿色》 我会想笑，那天 因为你，我听了好多次那首歌,53分钟前
皮卡丘没有十万伏特喔,我终于把你忘了,53分钟前
答案就是你_,月亮不抱你 时光摧毁你 可是我爱你 这个季节 绿色真的很干净,54分钟前
好好好很好非常好,后来我变成看上去像有男朋友其实却没有的人,54分钟前
Y-是你的阿王,爱我的话你都说，爱我的事你不做，所以分开我一点都不难过,54分钟前
你脸红的样子像极了爱情,他： 不好意思 走错了！ 溜了溜了,54分钟前
奥利奥1218,有一种悲伤 我永远失去你了,55分钟前
Joncep丶,可惜我连闯入她生活的机会都没有。,56分钟前
Anny漠,若不是你突然闯进我生活我怎会把死守的承诺放任了💔,56分钟前
也只是我认为,后来再爱慕谁也无法传达，只不过是一厢情愿罢了..,57分钟前
叶花黎,我以为我们能走很久 不过我没想到 这么久了 你也会腻 你也不那么爱我对吧 那你为什么要说还喜欢我 还想和我在一起呢 你知不知道这样我很伤心 就好比我身在地狱 你把我拉上来 让我误以为我到了天堂 却不成想 是你又将我推向了地狱 还不如就让我一个人在地狱生活,58分钟前
宇西FRl,哎！谁不是在这里扮演着渣男在那边扮演着情圣。我很想爱她，但是理智在说话。,58分钟前
-_-红鼻子小黑,绿色很干净 脏了它的是那些所谓的爱情,58分钟前
ImSuperGe,声音很独特 很好听,59分钟前
蜜渃,若不是你突然闯进我生活又怎么会有故事怎么会有满船清梦💚,09:50
网友范冰冰,有些人表面上谈过很多次恋爱 实际上没有一次被好好爱过,09:50
-木陌-,如果后来你真的没有在找我，可能会以为自己已经忘记了吧。对不起，打扰了。,09:50
就叫帅气的我,第一次主动，换来的却是不好的结果，我想以后再也不会这样了,09:50
nicer叮,两年了终于结束了,09:50
shi界很美,听了好久了，终于看到你被其他人发现，并且也觉得你好听了~,09:50
我八瓶倒一箱昏,寂寞真的很可怕 ！和别人聊个天 ，都感觉自己恋爱了 ，把她给放在了心上,09:49
你的女孩微,绿色本就是个干净的颜色是爱情玷污了他,09:49
是阿澜吖,太好听了吧,09:49
AI毁宙,等人是会上瘾了 因为等着等着 你会发现 如果你不等了 不是放弃了对方 而是背叛了自己,09:49
Love__Sunshine,听了那么长时间还是不敢单曲循环，怕听腻了。,09:49
陈糖糖呀-,两年了，我还是忘不了你，忘不了那个夏天,09:49
懂舍qh,是爱情污染了绿色,09:49
很近1712,如果要给生活添点颜色吧话，那就添点绿色叭。,09:48
不知所措的肉团子,·一样·我一直相信缘分这个东西·后来才明白·有缘·也会无分··相遇是缘分·分开·也是无分·不合适的最终会分开·,09:48
微笑阳光i,你看评论的频率，我没见过正常哪首歌评论时间间隔这么短的，一分钟一个评论,09:48
他愿意为你勇敢走出从前,你爱过森林，我绿过你,09:48
伊吹小风子,白山茶～,09:47
天地盛宴,我想敬你三杯酒：第一杯敬我们的有缘，第二杯敬我们的无份，第三杯敬我们的以后，都各生安好。你满心欢喜憧憬未来，我却要忘你于茫茫人海。,09:47
黑也白也罢,我跟你说过我喜欢绿色吗,09:47
想做他的菲菲,感同身受,09:47
言梓柒1808,绿色很干净，是爱情脏了它,09:46
叮当喵喵喵啊,明明是你先开始喜欢我，先来招惹我，说爱我，我放弃了所有来到你的身边，换来的是你说没有当年的感觉了，我开始沦陷，你却轻轻地推开我，说我们性格不合适！当年是你说所谓择偶的标准都是给不爱的人的，喜欢的话什么都不是问题，我知道，我们确实回不到过去了，所以，你好，再见！,09:44
好呢喃,谢谢你给我推荐这首歌。,09:44
成王败寇sir,青青草原,09:44
Tsundere槿夏,后悔吗，已经晚了,09:44
Zoie_F,也是很爱绿色,09:43
IsAspect,声音里带着那么一点点寂寞，爱死了,09:43
咦吖哎呦V,说不痛苦是假的，毕竟我的心也是肉做的啊！,09:43
未归---,荣登榜一,09:43
鱼仔1213,綠色很純淨 臟的是愛情,09:43
香蕉苹果大鸭梨1703,我们也爱你,09:43
欤已_,绿色这个颜色，纯洁又干净，别让爱情玷污了它,09:42
大可爱呦嘿,绿色很干净💚 若不是你突然闯进我生活我怎会把死守的寂寞放任了 可我爱你知道吗,09:42
心晴24590,为什么这么好听的歌火不起来？,09:42
张波Txr,听你的歌，又起涟漪。,09:42
善良凯智,哈哈哈，混入其中,09:41
杂食copo,想听好妹妹唱这首歌呢,09:41
宝贝跟紧我,内向是一种错吗,09:41
认识繁华吗,我尊重同性恋，我理解抑郁症，觉得有纹身的小姐姐超酷。我知道捐献造血干细胞不需要忍受很大疼痛在骨头上打洞，我会喂楼底下的流浪猫，会给老奶奶让座位，会对店员说谢谢……纵然，我普通人，脾气不好，曾经失败痛苦伤心绝望，吃尽生活的苦，但我依然，想努力地成为一个温柔善良的人。我也想一直善良啊,09:40
阿笛的胡思乱想,士为知己者死 女为悦己者容——《战国策·赵策一》,09:40
水煮冰淇淋12121,爱人不是喜欢 也不是寻欢作乐的伴 而是口吻平常 河畔未曾驶远的船,09:40
